Phrase ^ Count
saith the lord  ^ 731
and the  ^ 717
said unto  ^ 559
in the  ^ 434
thus saith  ^ 383
thus saith the lord  ^ 362
the lord god  ^ 356
him and  ^ 303
the children of israel  ^ 298
into the  ^ 244
saith the lord god  ^ 230
before the lord  ^ 215
unto moses  ^ 198
for the  ^ 189
the lord thy god  ^ 186
the lord of hosts  ^ 181
that i  ^ 177
which the lord  ^ 176
of the  ^ 174
spoke unto  ^ 168
answered and said  ^ 161
the lord  ^ 158
of the children of israel  ^ 152
son of man  ^ 148
and the lord said  ^ 147
jesus christ  ^ 139
i am the lord  ^ 139
and he said  ^ 136
all the  ^ 135
for the lord  ^ 134
the son  ^ 134
by the  ^ 132
and jesus  ^ 131
them and  ^ 130
unto the lord  ^ 128
said unto him  ^ 127
of god and  ^ 124
this day  ^ 123
and he  ^ 123
and said  ^ 121
all that  ^ 120
king of judah  ^ 120
and his  ^ 120
but the  ^ 119
i say unto you  ^ 118
years old  ^ 116
the people  ^ 115
me and  ^ 114
and said unto  ^ 111
and the lord said unto  ^ 111
god of israel  ^ 110
and all the people  ^ 110
and the lord spoke  ^ 110
from the  ^ 110
all these  ^ 109
the word of the lord  ^ 109
the world  ^ 108
spoke unto moses  ^ 108
came unto  ^ 107
that the lord  ^ 106
and all  ^ 106
saith the lord of hosts  ^ 106
and the lord spoke unto  ^ 106
unto the  ^ 105
of the lord came  ^ 102
that the  ^ 102
the word  ^ 100
on the  ^ 99
and he said unto  ^ 99
came to  ^ 98
for i  ^ 97
the kingdom  ^ 95
all the people  ^ 95
and the children of israel  ^ 94
lord jesus  ^ 94
the father  ^ 94
the lord commanded  ^ 94
in that day  ^ 94
the earth  ^ 92
his disciples  ^ 92
out of the  ^ 91
as the lord  ^ 90
said unto them  ^ 90
for all  ^ 89
of the lord  ^ 89
the temple  ^ 88
god and  ^ 87
unto him  ^ 85
to the  ^ 84
and they  ^ 84
and in  ^ 82
this is  ^ 81
moses saying  ^ 81
no more  ^ 80
in the sight of the lord  ^ 80
unto the children of israel  ^ 78
unto moses saying  ^ 78
from heaven  ^ 77
verily i say  ^ 77
that i am the lord  ^ 77
you and  ^ 76
unto them  ^ 76
but if  ^ 75
is the  ^ 74
for this  ^ 74
he said unto them  ^ 74
seven days  ^ 73
this people  ^ 73
then said  ^ 73
saw that  ^ 72
i am  ^ 72
the jews  ^ 72
and when  ^ 72
with the  ^ 71
the land which  ^ 70
the son of man  ^ 70
the lord your god  ^ 69
the spirit  ^ 69
not the  ^ 69
and all that  ^ 68
unto this  ^ 68
the law  ^ 68
verily i say unto you  ^ 68
that day  ^ 67
said to  ^ 67
and not  ^ 67
with him  ^ 67
upon the earth  ^ 67
he said  ^ 66
and if  ^ 65
unto this day  ^ 65
unto the children  ^ 65
jesus said  ^ 65
lord jesus christ  ^ 65
for if  ^ 64
unto the king  ^ 64
the land of egypt  ^ 64
the sea  ^ 63
kingdom of god  ^ 63
for thus  ^ 63
of the lord came unto  ^ 63
jesus answered  ^ 63
and david said  ^ 62
of god  ^ 62
the lord for  ^ 62
and behold  ^ 62
upon the  ^ 62
him saying  ^ 62
in the book  ^ 61
with all  ^ 61
father and  ^ 61
in him  ^ 61
the god of israel  ^ 61
therefore thus  ^ 61
therefore thus saith  ^ 61
not for  ^ 60
speak unto  ^ 60
of the tabernacle of the congregation  ^ 60
the kingdom of god  ^ 60
and it came to pass  ^ 60
according to all that  ^ 59
in christ  ^ 59
over israel  ^ 58
of the house of the lord  ^ 58
for they  ^ 58
out of the land of egypt  ^ 58
in those days  ^ 58
earth and  ^ 58
said unto moses  ^ 58
reigned in his stead  ^ 57
for thou  ^ 57
and the king said  ^ 57
king of israel  ^ 57
which i  ^ 57
of the jews  ^ 57
unto me saying  ^ 57
that were with  ^ 56
in the lord  ^ 56
the holy ghost  ^ 56
commanded moses  ^ 56
and said unto him  ^ 56
the lord commanded moses  ^ 56
for he  ^ 55
christ jesus  ^ 55
is not  ^ 55
the lord god of israel  ^ 55
these words  ^ 54
him but  ^ 54
the house of israel  ^ 54
unto all  ^ 54
for god  ^ 53
at the  ^ 53
to jerusalem  ^ 53
in the land of egypt  ^ 53
of the first year  ^ 53
