PhraseID ^ ComplexPhraseEnglishText ^ PhraseCount
1 ^ after -before  ^ 371
2 ^ after -against  ^ 294
3 ^ take -not translated  ^ 271
4 ^ after -all  ^ 244
5 ^ see -not translated  ^ 242
6 ^ give -not translated  ^ 223
7 ^ do -not translated  ^ 217
8 ^ after -hand  ^ 194
9 ^ after -land  ^ 176
10 ^ after -against  ^ 172
11 ^ beget -not translated  ^ 166
12 ^ smite -not translated  ^ 155
13 ^ after -son  ^ 152
14 ^ against -after that  ^ 147
15 ^ command -not translated  ^ 144
16 ^ hear -not translated  ^ 140
17 ^ as if -in it  ^ 135
18 ^ two -etc to nineteen  ^ 130
19 ^ etc...) up -not translated  ^ 129
20 ^ because -doubtless  ^ 123
21 ^ come -not translated  ^ 108
22 ^ send -not translated  ^ 105
23 ^ after -in it  ^ 99
24 ^ after -Egypt  ^ 93
25 ^ after -house  ^ 92
26 ^ ....out -not translated  ^ 92
27 ^ keep -not translated  ^ 86
28 ^ serve -not translated  ^ 81
29 ^ put -not translated  ^ 81
30 ^ return -not translated  ^ 81
31 ^ against -before  ^ 80
32 ^ after -as long  ^ 73
33 ^ as long -ever  ^ 73
34 ^ ...) over -not translated  ^ 73
35 ^ after -midst  ^ 68
36 ^ know -not translated  ^ 67
37 ^ possess -not translated  ^ 66
38 ^ bless -not translated  ^ 63
39 ^ Bozrah -drowsiness  ^ 63
40 ^ eat -not translated  ^ 62
41 ^ all -as if  ^ 61
42 ^ all -day  ^ 60
43 ^ after -hath  ^ 60
44 ^ after -after  ^ 58
45 ^ etc...)  up -not translated  ^ 58
46 ^ after -day  ^ 56
47 ^ after -as  ^ 55
48 ^ etc...) up -not translated  ^ 55
49 ^ build -not translated  ^ 55
50 ^ buy -Ahithophel  ^ 55
51 ^ die -die  ^ 53
52 ^ call -not translated  ^ 53
53 ^ after -upward  ^ 52
54 ^ forsake -not translated  ^ 51
55 ^ after -mouth  ^ 50
56 ^ before -not translated  ^ 49
57 ^ offer -not translated  ^ 49
58 ^ Gad -Carmi  ^ 49
59 ^ before -all  ^ 48
60 ^ after -without  ^ 46
61 ^ cut off -not translated  ^ 46
62 ^ after -tribe  ^ 46
63 ^ gold -buy  ^ 46
64 ^ after -among  ^ 43
65 ^ after -round about  ^ 43
66 ^ four -etc to nineteen  ^ 42
67 ^ buy -Giddalti  ^ 42
68 ^ ...) away -not translated  ^ 41
69 ^ after -way  ^ 41
70 ^ son -ox  ^ 40
71 ^ answer -not translated  ^ 40
72 ^ seek -not translated  ^ 40
73 ^ fear -not translated  ^ 40
74 ^ remember -not translated  ^ 39
75 ^ after -end  ^ 39
76 ^ holy -holy  ^ 39
77 ^ after -city  ^ 39
78 ^ after -afar...) off  ^ 38
79 ^ after -people  ^ 37
80 ^ as long -as if  ^ 37
81 ^ after -north  ^ 36
82 ^ word -day  ^ 36
83 ^ judge (v) -not translated  ^ 35
84 ^ after -here  ^ 35
85 ^ fill -not translated  ^ 34
86 ^ cover -not translated  ^ 34
87 ^ speak -not translated  ^ 34
88 ^ stretch out -not translated  ^ 34
89 ^ after -Israel  ^ 34
90 ^ after -person +  ^ 34
91 ^ five -etc to nineteen  ^ 33
92 ^ said -after  ^ 33
93 ^ doubtless -before  ^ 33
94 ^ after -stave  ^ 33
95 ^ etc...) about -not translated  ^ 32
96 ^ number -against  ^ 32
97 ^ after -Jerusalem  ^ 32
98 ^ love -not translated  ^ 31
99 ^ against -as if  ^ 31
100 ^ after -except  ^ 31
101 ^ number -not translated  ^ 30
102 ^ gather -not translated  ^ 30
103 ^ deliver -not translated  ^ 30
104 ^ strove -will  ^ 30
105 ^ eight -etc to nineteen  ^ 29
106 ^ go -after  ^ 29
107 ^ man -not translated  ^ 29
108 ^ after -side  ^ 29
109 ^ as if -against  ^ 28
110 ^ after -man  ^ 27
111 ^ after -LORD  ^ 27
112 ^ after -morrow  ^ 27
113 ^ kill -not translated  ^ 27
114 ^ misc -not translated  ^ 27
115 ^ after -place  ^ 27
116 ^ sanctify -not translated  ^ 27
117 ^ scarlet -scarlet  ^ 27
118 ^ after -mountain  ^ 27
119 ^ take -not translated  ^ 27
120 ^ find -not translated  ^ 26
121 ^ generation -generation  ^ 26
122 ^ save -not translated  ^ 26
123 ^ round about -round about  ^ 26
124 ^ gold -wall  ^ 26
125 ^ open -not translated  ^ 25
126 ^ as if -not translated  ^ 25
127 ^ after -about  ^ 25
128 ^ as long -long  ^ 25
129 ^ after -east  ^ 24
130 ^ destroy -not translated  ^ 24
131 ^ three -etc to nineteen  ^ 24
132 ^ after -after that  ^ 24
133 ^ because -as if  ^ 24
134 ^ after -families  ^ 24
135 ^ could -before  ^ 24
136 ^ slay -not translated  ^ 24
137 ^ seek -not translated  ^ 23
138 ^ after -sea  ^ 23
139 ^ after -multitude  ^ 23
140 ^ after -daughter  ^ 23
141 ^ six -etc to nineteen  ^ 23
142 ^ after -corruption  ^ 23
143 ^ after -head  ^ 23
144 ^ after -hand  ^ 23
145 ^ after -evil  ^ 23
146 ^ after -end  ^ 22
147 ^ after -ever  ^ 22
148 ^ after -seed  ^ 22
149 ^ rent -not translated  ^ 22
150 ^ gather -not translated  ^ 22
151 ^ strove -will -will  ^ 22
152 ^ unclean -not translated  ^ 21
153 ^ die -not translated  ^ 21
154 ^ after -before  ^ 21
155 ^ break -not translated  ^ 21
156 ^ before -could  ^ 20
157 ^ bury -not translated  ^ 20
158 ^ after -asunder  ^ 20
159 ^ day -day  ^ 20
160 ^ linen -fine twined  ^ 20
161 ^ after -voice  ^ 20
162 ^ after -youth  ^ 19
163 ^ misc -not translated  ^ 19
164 ^ stood -not translated  ^ 19
165 ^ speak -after  ^ 19
166 ^ after -beginning  ^ 19
167 ^ after -hand  ^ 19
168 ^ after -brethren  ^ 19
169 ^ lay -not translated  ^ 19
170 ^ burn -not translated  ^ 19
171 ^ begin -not translated  ^ 19
172 ^ uncover -not translated  ^ 19
173 ^ extinct -Ahithophel  ^ 19
174 ^ cast -not translated  ^ 18
175 ^ after -wilderness  ^ 18
176 ^ eleven + 02640 -etc to nineteen  ^ 18
177 ^ LORD -not translated  ^ 18
178 ^ after -after -without  ^ 18
179 ^ after -side  ^ 18
180 ^ after -enemy(s)  ^ 18
181 ^ buy -fair  ^ 18
182 ^ because -fair  ^ 18
183 ^ after -flesh  ^ 17
184 ^ call -after  ^ 17
185 ^ after -whence  ^ 17
186 ^ people -not translated  ^ 17
187 ^ before -word  ^ 17
188 ^ man -man  ^ 17
189 ^ after -God  ^ 17
190 ^ besiege -against  ^ 17
191 ^ after -womb  ^ 17
192 ^ after -heaven  ^ 17
193 ^ pleasant -Carmi  ^ 17
194 ^ dedicate -stripe  ^ 17
195 ^ gold -Noadiah  ^ 17
196 ^ after -fruit  ^ 16
197 ^ after -another  ^ 16
198 ^ after -as if  ^ 16
199 ^ after -servant  ^ 16
200 ^ hear -hear  ^ 16
201 ^ break down -not translated  ^ 16
202 ^ after -sin  ^ 16
203 ^ because of -name  ^ 16
204 ^ dedicate -sin  ^ 16
205 ^ seven -etc to nineteen  ^ 15
206 ^ after -south  ^ 15
207 ^ go to -not translated  ^ 15
208 ^ multiply -not translated  ^ 15
209 ^ reign -not translated  ^ 15
210 ^ all -misc -as  ^ 15
211 ^ Belteshazzar -Jokmeam  ^ 15
212 ^ also -because  ^ 14
213 ^ after -man  ^ 14
214 ^ after -left  ^ 14
215 ^ clothe -not translated  ^ 14
216 ^ etc) down -not translated  ^ 14
217 ^ smite -not translated  ^ 14
218 ^ as long -hither  ^ 14
219 ^ after -elders  ^ 14
220 ^ after -sacrifice  ^ 14
221 ^ against -how  ^ 14
222 ^ after -east  ^ 14
223 ^ lift....) up -not translated  ^ 14
224 ^ son -Ammon  ^ 14
225 ^ for my sake -become  ^ 14
226 ^ little -acquaint  ^ 14
227 ^ know -know  ^ 13
228 ^ forget -not translated  ^ 13
229 ^ feed -not translated  ^ 13
230 ^ sprinkle -not translated  ^ 13
231 ^ anoint -not translated  ^ 13
232 ^ after -misc  ^ 13
233 ^ destroy -not translated  ^ 13
234 ^ as -as if  ^ 13
235 ^ perish -not translated  ^ 13
236 ^ against -hand  ^ 13
237 ^ as long -very  ^ 13
238 ^ after -Babylon  ^ 13
239 ^ after -henceforth  ^ 13
240 ^ after -Zion  ^ 13
241 ^ proclamation -Ahithophel  ^ 13
242 ^ tear -Carmi  ^ 13
243 ^ strove -buy  ^ 13
244 ^ after -wine  ^ 12
245 ^ because -not translated  ^ 12
246 ^ hear -after  ^ 12
247 ^ break -not translated  ^ 12
248 ^ after -small  ^ 12
249 ^ live -not translated  ^ 12
250 ^ after -father  ^ 12
251 ^ day -not translated  ^ 12
252 ^ go -go  ^ 12
253 ^ after -eye  ^ 12
254 ^ one -etc to nineteen  ^ 12
255 ^ well -eye  ^ 12
256 ^ strip -not translated  ^ 12
257 ^ prepare -not translated  ^ 12
258 ^ after -become  ^ 12
259 ^ also -not translated  ^ 12
260 ^ inherit -not translated  ^ 12
261 ^ wash -not translated  ^ 12
262 ^ after -beside  ^ 12
263 ^ after -iniquity  ^ 12
264 ^ never -not translated  ^ 12
265 ^ spare -against  ^ 12
266 ^ anger -not translated  ^ 12
267 ^ praise -not translated  ^ 12
268 ^ measure -not translated  ^ 12
269 ^ against -word  ^ 11
270 ^ son -strange  ^ 11
271 ^ after -do  ^ 11
272 ^ after -come  ^ 11
273 ^ praise -not translated  ^ 11
274 ^ afflict -not translated  ^ 11
275 ^ Buy -not translated  ^ 11
276 ^ honour -not translated  ^ 11
277 ^ sacrifice -not translated  ^ 11
278 ^ Israel -not translated  ^ 11
279 ^ morning -morning  ^ 11
280 ^ rest -not translated  ^ 11
281 ^ write -not translated  ^ 11
282 ^ cover -against  ^ 11
283 ^ after -heart  ^ 11
284 ^ after -wife  ^ 11
285 ^ do -work  ^ 11
286 ^ Jabesh -Gilead  ^ 11
287 ^ what -hath  ^ 11
288 ^ son -army  ^ 11
289 ^ live -live  ^ 11
290 ^ misc -see  ^ 11
291 ^ Aspatha -wall  ^ 11
292 ^ extinct -Carmites  ^ 11
293 ^ drink -not translated  ^ 10
294 ^ drive out -not translated  ^ 10
295 ^ son -not translated  ^ 10
296 ^ very -very  ^ 10
297 ^ return -return  ^ 10
298 ^ how -hath  ^ 10
299 ^ after -young man  ^ 10
300 ^ prove -not translated  ^ 10
301 ^ sell -not translated  ^ 10
302 ^ after -Judah  ^ 10
303 ^ misc -before  ^ 10
304 ^ after -side  ^ 10
305 ^ after -end  ^ 10
306 ^ incense -not translated  ^ 10
307 ^ gather -not translated  ^ 10
308 ^ pour out -not translated  ^ 10
309 ^ after -womb  ^ 10
310 ^ rebel -not translated  ^ 10
311 ^ spy -not translated  ^ 10
312 ^ bind -against  ^ 10
313 ^ said -not translated  ^ 10
314 ^ etc...)  up -before  ^ 10
315 ^ more -again  ^ 10
316 ^ suburbs -not translated  ^ 10
317 ^ pity -against  ^ 10
318 ^ after -high  ^ 10
319 ^ till -as  ^ 10
320 ^ little -troubled  ^ 10
321 ^ twilight -Jokmeam  ^ 10
322 ^ fleece -Carmi  ^ 10
323 ^ curse -not translated  ^ 9
324 ^ also -not translated  ^ 9
325 ^ because of -as if  ^ 9
326 ^ after -see  ^ 9
327 ^ ask -not translated  ^ 9
328 ^ hand -not translated  ^ 9
329 ^ consume -not translated  ^ 9
330 ^ etc...) up -not translated  ^ 9
331 ^ any -give  ^ 9
332 ^ after -sword  ^ 9
333 ^ give -after  ^ 9
334 ^ after -against  ^ 9
335 ^ fill -not translated -hand  ^ 9
336 ^ after -gate  ^ 9
337 ^ in it -not translated  ^ 9
338 ^ after -field  ^ 9
339 ^ despise -not translated  ^ 9
340 ^ after -dust  ^ 9
341 ^ destroy -not translated  ^ 9
342 ^ after -go  ^ 9
343 ^ after -...) over  ^ 9
344 ^ after -enemy  ^ 9
345 ^ etc...) up -vessel  ^ 9
346 ^ after -Dan  ^ 9
