PhraseID ^ ComplexPhraseStrongsSequence ^ PhraseCount
1 ^ H4480-H6440 ^ 371
2 ^ H4480-H5921 ^ 294
3 ^ H3947-H853 ^ 271
4 ^ H4480-H3605 ^ 244
5 ^ H7200-H853 ^ 242
6 ^ H5414-H853 ^ 223
7 ^ H6213-H853 ^ 217
8 ^ H4480-H3027 ^ 194
9 ^ H4480-H776 ^ 176
10 ^ H4480-H854 ^ 172
11 ^ H3205-H853 ^ 166
12 ^ H5221-H853 ^ 155
13 ^ H4480-H1121 ^ 152
14 ^ H5921-H3651 ^ 147
15 ^ H6680-H853 ^ 144
16 ^ H8085-H853 ^ 140
17 ^ H834-H8033 ^ 135
18 ^ H8147-H6240 ^ 130
19 ^ H5375-H853 ^ 129
20 ^ H3588-H518 ^ 123
21 ^ H935-H853 ^ 108
22 ^ H7971-H853 ^ 105
23 ^ H4480-H8033 ^ 99
24 ^ H4480-H4714 ^ 93
25 ^ H4480-H1004 ^ 92
26 ^ H3318-H853 ^ 92
27 ^ H8104-H853 ^ 86
28 ^ H5647-H853 ^ 81
29 ^ H7760-H853 ^ 81
30 ^ H7725-H853 ^ 81
31 ^ H5921-H6440 ^ 80
32 ^ H4480-H5973 ^ 73
33 ^ H5704-H5769 ^ 73
34 ^ H5674-H853 ^ 73
35 ^ H4480-H8432 ^ 68
36 ^ H3045-H853 ^ 67
37 ^ H3423-H853 ^ 66
38 ^ H1288-H853 ^ 63
39 ^ G1223-G5124 ^ 63
40 ^ H398-H853 ^ 62
41 ^ H3605-H834 ^ 61
42 ^ H3605-H3117 ^ 60
43 ^ H4480-H2088 ^ 60
44 ^ H4480-H310 ^ 58
45 ^ H5927-H853 ^ 58
46 ^ H4480-H3117 ^ 56
47 ^ H4480-H8478 ^ 55
48 ^ H6965-H853 ^ 55
49 ^ H1129-H853 ^ 55
50 ^ G3739-G302 ^ 55
51 ^ H4191-H4191 ^ 53
52 ^ H7121-H853 ^ 53
53 ^ H4480-H4605 ^ 52
54 ^ H5800-H853 ^ 51
55 ^ H4480-H6310 ^ 50
56 ^ H3808-H853 ^ 49
57 ^ H7126-H853 ^ 49
58 ^ G1410-G3756 ^ 49
59 ^ H3808-H3605 ^ 48
60 ^ H4480-H2351 ^ 46
61 ^ H3772-H853 ^ 46
62 ^ H4480-H4294 ^ 46
63 ^ G1722-G3739 ^ 46
64 ^ H4480-H7130 ^ 43
65 ^ H4480-H5439 ^ 43
66 ^ H702-H6240 ^ 42
67 ^ G3739-G1437 ^ 42
68 ^ H5493-H853 ^ 41
69 ^ H4480-H1870 ^ 41
70 ^ H1121-H1241 ^ 40
71 ^ H6030-H853 ^ 40
72 ^ H1245-H853 ^ 40
73 ^ H3372-H853 ^ 40
74 ^ H2142-H853 ^ 39
75 ^ H4480-H7097 ^ 39
76 ^ H6944-H6944 ^ 39
77 ^ H4480-H5892 ^ 39
78 ^ H4480-H7350 ^ 38
79 ^ H4480-H5971 ^ 37
80 ^ H5704-H834 ^ 37
81 ^ H4480-H6828 ^ 36
82 ^ H1697-H3117 ^ 36
83 ^ H8199-H853 ^ 35
84 ^ H4480-H6311 ^ 35
85 ^ H4390-H853 ^ 34
86 ^ H3680-H853 ^ 34
87 ^ H1696-H853 ^ 34
88 ^ H5186-H853 ^ 34
89 ^ H4480-H3478 ^ 34
90 ^ H4480-H1818 ^ 34
91 ^ H2568-H6240 ^ 33
92 ^ H559-H413 ^ 33
93 ^ H518-H3808 ^ 33
94 ^ H4480-H905 ^ 33
95 ^ H5437-H853 ^ 32
96 ^ H6485-H5921 ^ 32
97 ^ H4480-H3389 ^ 32
98 ^ H157-H853 ^ 31
99 ^ H5921-H834 ^ 31
100 ^ H4480-H369 ^ 31
101 ^ H6485-H853 ^ 30
102 ^ H622-H853 ^ 30
103 ^ H5337-H853 ^ 30
104 ^ G1519-G165 ^ 30
105 ^ H8083-H6240 ^ 29
106 ^ H1980-H310 ^ 29
107 ^ H376-H853 ^ 29
108 ^ H4480-H5676 ^ 29
109 ^ H834-H5921 ^ 28
110 ^ H4480-H376 ^ 27
111 ^ H4480-H3068 ^ 27
112 ^ H4480-H4283 ^ 27
113 ^ H7819-H853 ^ 27
114 ^ H2388-H853 ^ 27
115 ^ H4480-H4725 ^ 27
116 ^ H6942-H853 ^ 27
117 ^ H8438-H8144 ^ 27
118 ^ H4480-H2022 ^ 27
119 ^ H3920-H853 ^ 27
120 ^ H4672-H853 ^ 26
121 ^ H1755-H1755 ^ 26
122 ^ H3467-H853 ^ 26
123 ^ H5439-H5439 ^ 26
124 ^ G1722-G846 ^ 26
125 ^ H6605-H853 ^ 25
126 ^ H834-H853 ^ 25
127 ^ H4480-H5048 ^ 25
128 ^ H5704-H4970 ^ 25
129 ^ H4480-H6924 ^ 24
130 ^ H7843-H853 ^ 24
131 ^ H7969-H6240 ^ 24
132 ^ H310-H3651 ^ 24
133 ^ H3282-H834 ^ 24
134 ^ H4480-H4940 ^ 24
135 ^ H3201-H3808 ^ 24
136 ^ H2026-H853 ^ 24
137 ^ H1875-H853 ^ 23
138 ^ H4480-H3220 ^ 23
139 ^ H4480-H7230 ^ 23
140 ^ H4480-H1323 ^ 23
141 ^ H8337-H6240 ^ 23
142 ^ H4480-H1097 ^ 23
143 ^ H4480-H7218 ^ 23
144 ^ H4480-H3709 ^ 23
145 ^ H4480-H7451 ^ 23
146 ^ H4480-H7093 ^ 22
147 ^ H4480-H5769 ^ 22
148 ^ H4480-H2233 ^ 22
149 ^ H7167-H853 ^ 22
150 ^ H6908-H853 ^ 22
151 ^ G1519-G165-G165 ^ 22
152 ^ H2930-H853 ^ 21
153 ^ H4191-H853 ^ 21
154 ^ H413-H6440 ^ 21
155 ^ H7665-H853 ^ 21
156 ^ H3808-H3201 ^ 20
157 ^ H6912-H853 ^ 20
158 ^ H4480-H996 ^ 20
159 ^ H3117-H3117 ^ 20
160 ^ H8336-H7806 ^ 20
161 ^ H4480-H6963 ^ 20
162 ^ H4480-H5271 ^ 19
163 ^ H1571-H853 ^ 19
164 ^ H5975-H853 ^ 19
165 ^ H1696-H413 ^ 19
166 ^ H4480-H227 ^ 19
167 ^ H4480-H3225 ^ 19
168 ^ H4480-H251 ^ 19
169 ^ H5564-H853 ^ 19
170 ^ H8313-H853 ^ 19
171 ^ H2490-H853 ^ 19
172 ^ H1540-H853 ^ 19
173 ^ G2193-G302 ^ 19
174 ^ H7993-H853 ^ 18
175 ^ H4480-H4057 ^ 18
176 ^ H6249-H6240 ^ 18
177 ^ H3068-H853 ^ 18
178 ^ H413-H4480-H2351 ^ 18
179 ^ H4480-H6285 ^ 18
180 ^ H4480-H341 ^ 18
181 ^ G3739-G3303 ^ 18
182 ^ G3588-G3303 ^ 18
183 ^ H4480-H1320 ^ 17
184 ^ H7121-H413 ^ 17
185 ^ H4480-H370 ^ 17
186 ^ H5971-H853 ^ 17
187 ^ H3808-H1697 ^ 17
188 ^ H376-H376 ^ 17
189 ^ H4480-H430 ^ 17
190 ^ H6696-H5921 ^ 17
191 ^ H4480-H990 ^ 17
192 ^ H4480-H8064 ^ 17
193 ^ G2532-G3756 ^ 17
194 ^ G2596-G2250 ^ 17
195 ^ G1722-G5129 ^ 17
196 ^ H4480-H6529 ^ 16
197 ^ H4480-H428 ^ 16
198 ^ H4480-H834 ^ 16
199 ^ H4480-H5650 ^ 16
200 ^ H8085-H8085 ^ 16
201 ^ H5422-H853 ^ 16
202 ^ H4480-H2403 ^ 16
203 ^ H4616-H8034 ^ 16
204 ^ G2596-G2398 ^ 16
205 ^ H7651-H6240 ^ 15
206 ^ H4480-H5045 ^ 15
207 ^ H4994-H853 ^ 15
208 ^ H7235-H853 ^ 15
209 ^ H4427-H853 ^ 15
210 ^ H3606-H6903-H1768 ^ 15
211 ^ G1096-G3361 ^ 15
212 ^ H637-H3588 ^ 14
213 ^ H4480-H120 ^ 14
214 ^ H4480-H8040 ^ 14
215 ^ H3847-H853 ^ 14
216 ^ H3381-H853 ^ 14
217 ^ H5062-H853 ^ 14
218 ^ H5704-H575 ^ 14
219 ^ H4480-H2205 ^ 14
220 ^ H4480-H2077 ^ 14
221 ^ H5921-H4100 ^ 14
222 ^ H4480-H4217 ^ 14
223 ^ H5782-H853 ^ 14
224 ^ H1121-H5983 ^ 14
