RowID ^ Phrase ^ Count
1 ^  ^ 1
2 ^ a ^ 84
3 ^ a babe ^ 1
4 ^ a backbiting ^ 1
5 ^ a bad ^ 1
6 ^ a bag ^ 2
7 ^ a band ^ 2
8 ^ a band of soldiers ^ 1
9 ^ a bank ^ 3
10 ^ a banner ^ 2
11 ^ a baptism ^ 1
12 ^ a bar ^ 2
13 ^ a barbarian ^ 1
14 ^ a base ^ 1
15 ^ a basin ^ 1
16 ^ a basket ^ 4
17 ^ a bastard ^ 1
18 ^ a battle ^ 3
19 ^ a battlement ^ 1
20 ^ a beam ^ 2
21 ^ a beast ^ 7
22 ^ a beautiful ^ 1
23 ^ a bed ^ 7
24 ^ a beerothite ^ 1
25 ^ a bekah ^ 1
26 ^ a bell ^ 2
27 ^ a beloved ^ 1
28 ^ a benjamite ^ 7
29 ^ a beryl ^ 2
30 ^ a bethlehemite ^ 1
31 ^ a bethshemite ^ 1
32 ^ a betrothed ^ 1
33 ^ a better ^ 3
34 ^ a bill ^ 2
35 ^ a binding ^ 1
36 ^ a bird ^ 1
37 ^ a birds ^ 1
38 ^ a bishop ^ 2
39 ^ a black ^ 1
40 ^ a blasphemer ^ 1
41 ^ a blast ^ 2
42 ^ a blemish ^ 2
43 ^ a blessing ^ 12
44 ^ a blind ^ 1
45 ^ a blind man ^ 1
46 ^ a bloody ^ 2
47 ^ a blue ^ 1
48 ^ a body ^ 2
49 ^ a boil ^ 3
50 ^ a bondmaid ^ 1
51 ^ a bondman ^ 5
52 ^ a bone ^ 4
53 ^ a book ^ 10
54 ^ a booty ^ 2
55 ^ a border ^ 1
56 ^ a bottle ^ 2
57 ^ a bough ^ 1
58 ^ a bound ^ 1
59 ^ a bow ^ 3
60 ^ a bowl ^ 1
61 ^ a boy ^ 1
62 ^ a bramble bush ^ 1
63 ^ a branch ^ 2
64 ^ a brand ^ 1
65 ^ a brazen ^ 2
66 ^ a breach ^ 3
67 ^ a breastplate ^ 1
68 ^ a bribe ^ 1
69 ^ a bride ^ 1
70 ^ a bridle ^ 1
71 ^ a bright ^ 1
72 ^ a bright spot ^ 1
73 ^ a broken ^ 1
74 ^ a brook ^ 1
75 ^ a brother ^ 11
76 ^ a bruised ^ 2
77 ^ a brutish ^ 1
78 ^ a building ^ 1
79 ^ a bullock ^ 11
80 ^ a bunch ^ 1
81 ^ a bundle ^ 2
82 ^ a burden ^ 5
83 ^ a burdensome ^ 1
84 ^ a burning ^ 2
85 ^ a burning heat ^ 1
86 ^ a burnt offering ^ 18
87 ^ a burnt sacrifice ^ 1
88 ^ a bushel ^ 3
89 ^ a busybody in other mens matters ^ 1
90 ^ a cage ^ 1
91 ^ a cake ^ 4
92 ^ a calf ^ 4
93 ^ a calm ^ 2
94 ^ a camel ^ 1
95 ^ a candle ^ 4
96 ^ a candlestick ^ 6
97 ^ a captain ^ 9
98 ^ a captive ^ 1
99 ^ a carcass ^ 1
100 ^ a cart ^ 1
101 ^ a carved image ^ 1
102 ^ a castaway ^ 1
103 ^ a cause ^ 2
104 ^ a cause of trespass ^ 1
105 ^ a cave ^ 2
106 ^ a cedar ^ 1
107 ^ a censer ^ 2
108 ^ a centurion ^ 4
109 ^ a certain ^ 75
110 ^ a certain king ^ 2
111 ^ a certain man ^ 3
112 ^ a certain rate every day ^ 1
113 ^ a certain thing ^ 2
114 ^ a certain woman ^ 1
115 ^ a chain ^ 1
116 ^ a chalcedony ^ 1
117 ^ a champion ^ 1
118 ^ a change ^ 1
119 ^ a charge ^ 1
120 ^ a charge and said ^ 1
121 ^ a charger ^ 4
122 ^ a chariot ^ 4
123 ^ a cheerful ^ 1
124 ^ a cherub ^ 3
125 ^ a chief ^ 1
126 ^ a chief corner stone ^ 1
127 ^ a chief ruler ^ 1
128 ^ a child ^ 11
129 ^ a choice young man ^ 1
130 ^ a chosen ^ 1
