first word id ^ clause ^ clause function ^ clause level ^ length
1 ^ 1:1.w1-w8_2 ^  ^ 1 ^ 8
9 ^ 1:2.w1-w4 @1:1.w1-w8_2 ^  ^ 1 ^ 4
13 ^ 1:2.w5-w9 @1:2.w1-w4 ^  ^ 1 ^ 5
18 ^ 1:2.w10-w18 @1:2.w5-w9 ^  ^ 1 ^ 9
27 ^ 1:3.w1-w11 @1:2.w10-w18 ^  ^ 1 ^ 11
38 ^ 1:3.w12-w16 @1:3.w1-w11 ^  ^ 1 ^ 5
43 ^ 1:3.w17-w21 @1:3.w12-w16 ^  ^ 1 ^ 5
48 ^ 1:4.w1-w5 @1:3.w17-w21 ^  ^ 1 ^ 5
53 ^ 1:4.w6-w10 @1:4.w1-w5 ^  ^ 1 ^ 5
58 ^ 1:4.w11-w15 @1:4.w6-w10 ^  ^ 1 ^ 5
63 ^ 1:5.w1-w8 @1:4.w11-w15 ^  ^ 1 ^ 8
71 ^ 1:5.w9-w16 @1:5.w1-w8 ^  ^ 1 ^ 8
79 ^ 1:5.w17-w21 @1:5.w9-w16 ^  ^ 1 ^ 5
84 ^ 1:6.w1-w7 @1:5.w17-w21 ^  ^ 1 ^ 7
91 ^ 1:6.w8-w16 @1:6.w1-w7 ^  ^ 1 ^ 9
100 ^ 1:7.w1-w5 @1:6.w8-w16 ^  ^ 1 ^ 5
105 ^ 1:7.w6-w10 @1:7.w1-w5 ^  ^ 1 ^ 5
110 ^ 1:7.w11-w15 @1:7.w6-w10 ^  ^ 1 ^ 5
115 ^ 1:8.w1-w5 @1:7.w11-w15 ^  ^ 1 ^ 5
120 ^ 1:8.w6-w10 @1:8.w1-w5 ^  ^ 1 ^ 5
125 ^ 1:8.w11-w15 @1:8.w6-w10 ^  ^ 1 ^ 5
130 ^ 1:9.w1-w5 @1:8.w11-w15 ^  ^ 1 ^ 5
135 ^ 1:9.w6-w10 @1:9.w1-w5 ^  ^ 1 ^ 5
140 ^ 1:9.w11-w15 @1:9.w6-w10 ^  ^ 1 ^ 5
145 ^ 1:10.w1-w5 @1:9.w11-w15 ^  ^ 1 ^ 5
150 ^ 1:10.w6-w10 @1:10.w1-w5 ^  ^ 1 ^ 5
155 ^ 1:10.w11-w15 @1:10.w6-w10 ^  ^ 1 ^ 5
160 ^ 1:11.w1-w13 @1:10.w11-w15 ^  ^ 1 ^ 13
173 ^ 1:12.w1-w9 @1:11.w1-w13 ^  ^ 1 ^ 2
175 ^ 1:12.w1 ^  ^ 1 ^ 7
182 ^ 1:12.w10-w14 @1:12.w1-w9 ^  ^ 1 ^ 5
187 ^ 1:13.w1-w5 @1:12.w10-w14 ^  ^ 1 ^ 5
192 ^ 1:13.w6-w10 @1:13.w1-w5 ^  ^ 1 ^ 5
197 ^ 1:13.w11-w15 @1:13.w6-w10 ^  ^ 1 ^ 5
202 ^ 1:14.w1-w5 @1:13.w11-w15 ^  ^ 1 ^ 5
207 ^ 1:14.w6-w10 @1:14.w1-w5 ^  ^ 1 ^ 5
212 ^ 1:14.w11-w15 @1:14.w6-w10 ^  ^ 1 ^ 5
217 ^ 1:15.w1-w5 @1:14.w11-w15 ^  ^ 1 ^ 5
222 ^ 1:15.w6-w10 @1:15.w1-w5 ^  ^ 1 ^ 5
227 ^ 1:15.w11-w15 @1:15.w6-w10 ^  ^ 1 ^ 5
232 ^ 1:16.w1-w8 @1:15.w11-w15 ^  ^ 1 ^ 8
240 ^ 1:16.w9-w15 @1:16.w1-w8 ^  ^ 2 ^ 4
244 ^ 1:16.w13-w15 ^  ^ 1 ^ 3
247 ^ 1:17.w1-w10 @1:16.w1-w8 ^  ^ 1 ^ 2
249 ^ 1:17.w1 ^  ^ 1 ^ 8
257 ^ 1:17.w11-w19 @1:17.w1-w10 ^  ^ 1 ^ 9
266 ^ 1:17.w20-w29 @1:17.w11-w19 ^  ^ 1 ^ 10
276 ^ 1:18.w1-w8 @1:17.w20-w29 ^  ^ 1 ^ 2
278 ^ 1:18.w1_2 ^  ^ 1 ^ 6
284 ^ 1:18.w9-w15 @1:18.w16-w26 ^  ^ 2 ^ 7
291 ^ 1:18.w16-w19 ^ adjunct ^ 1 ^ 5
296 ^ 1:18.w21-w26 ^ adjunct ^ 1 ^ 6
302 ^ 1:19.w1-w16 @1:18.w16-w26 ^ adjunct ^ 1 ^ 2
