a-apf	adjective, accusative, plural, feminine
a-apf-c	adjective, accusative, plural, feminine, comparative
a-apf-nui	adjective, accusative, plural, feminine, numerical indiclinable (a)
a-apm	adjective, accusative, plural, masculine
a-apm-c	adjective, accusative, plural, masculine, comparative
a-apm-lg	adjective, accusative, plural, masculine, location gentilic
a-apm-nui	adjective, accusative, plural, masculine, numerical indiclinable (a)
a-apm-pg	adjective, accusative, plural, masculine, person gentilic
a-apn	adjective, accusative, plural, neuter
a-apn-c	adjective, accusative, plural, neuter, comparative
a-apn-nui	adjective, accusative, plural, neuter, numerical indiclinable (a)
a-asf	adjective, accusative, singular, feminine
a-asf-c	adjective, accusative, singular, feminine, comparative
a-asf-l	adjective, accusative, singular, feminine, location
a-asf-lg	adjective, accusative, singular, feminine, location gentilic
a-asf-pg	adjective, accusative, singular, feminine, person gentilic
a-asm	adjective, accusative, singular, masculine
a-asm-c	adjective, accusative, singular, masculine, comparative
a-asm-lg	adjective, accusative, singular, masculine, location gentilic
a-asm-pg	adjective, accusative, singular, masculine, person gentilic
a-asn	adjective, accusative, singular, neuter
a-asn-c	adjective, accusative, singular, neuter, comparative
a-asn-lg	adjective, accusative, singular, neuter, location gentilic
a-asn-s	adjective, accusative, singular, neuter, superlative
a-dpf	adjective, dative, plural, feminine
a-dpf-c	adjective, dative, plural, feminine, comparative
a-dpf-nui	adjective, dative, plural, feminine, numerical indiclinable (a)
a-dpm	adjective, dative, plural, masculine
a-dpm-c	adjective, dative, plural, masculine, comparative
a-dpm-lg	adjective, dative, plural, masculine, location gentilic
a-dpm-nui	adjective, dative, plural, masculine, numerical indiclinable (a)
a-dpm-pg	adjective, dative, plural, masculine, person gentilic
a-dpn	adjective, dative, plural, neuter
a-dpn-nui	adjective, dative, plural, neuter, numerical indiclinable (a)
a-dsf	adjective, dative, singular, feminine
a-dsf-c	adjective, dative, singular, feminine, comparative
a-dsf-l	adjective, dative, singular, feminine, location
a-dsf-lg	adjective, dative, singular, feminine, location gentilic
a-dsf-pg	adjective, dative, singular, feminine, person gentilic
a-dsf-s	adjective, dative, singular, feminine, superlative
a-dsm	adjective, dative, singular, masculine
a-dsm-c	adjective, dative, singular, masculine, comparative
a-dsm-pg	adjective, dative, singular, masculine, person gentilic
a-dsn	adjective, dative, singular, neuter
a-dsn-c	adjective, dative, singular, neuter, comparative
a-dsn-lg	adjective, dative, singular, neuter, location gentilic
a-gpf	adjective, genitive, plural, feminine
a-gpf-l	adjective, genitive, plural, feminine, location
a-gpf-nui	adjective, genitive, plural, feminine, numerical indiclinable (a)
a-gpm	adjective, genitive, plural, masculine
a-gpm-c	adjective, genitive, plural, masculine, comparative
a-gpm-lg	adjective, genitive, plural, masculine, location gentilic
a-gpm-nui	adjective, genitive, plural, masculine, numerical indiclinable (a)
a-gpm-pg	adjective, genitive, plural, masculine, person gentilic
a-gpn	adjective, genitive, plural, neuter
a-gpn-c	adjective, genitive, plural, neuter, comparative
a-gpn-nui	adjective, genitive, plural, neuter, numerical indiclinable (a)
a-gsf	adjective, genitive, singular, feminine
a-gsf-c	adjective, genitive, singular, feminine, comparative
a-gsf-l	adjective, genitive, singular, feminine, location
a-gsf-lg	adjective, genitive, singular, feminine, location gentilic
a-gsf-pg	adjective, genitive, singular, feminine, person gentilic
a-gsf-s	adjective, genitive, singular, feminine, superlative
a-gsm	adjective, genitive, singular, masculine
a-gsm-c	adjective, genitive, singular, masculine, comparative
a-gsm-pg	adjective, genitive, singular, masculine, person gentilic
a-gsn	adjective, genitive, singular, neuter
a-npf	adjective, nominative, plural, feminine
a-npf-c	adjective, nominative, plural, feminine, comparative
a-npf-nui	adjective, nominative, plural, feminine, numerical indiclinable (a)
a-npf-s	adjective, nominative, plural, feminine, superlative
a-npm	adjective, nominative, plural, masculine
a-npm-c	adjective, nominative, plural, masculine, comparative
a-npm-lg	adjective, nominative, plural, masculine, location gentilic
a-npm-nui	adjective, nominative, plural, masculine, numerical indiclinable (a)
a-npm-pg	adjective, nominative, plural, masculine, person gentilic
