subclause word index ^ length
330 ^ joseph,
520 ^ bethlehem,
1010 ^ brood of vipers,
1389 ^ satan;
2009 ^ raca,’
2018 ^ fool,
2673 ^ father of us,
3069 ^ o [you] of little faith?
3193 ^ hypocrite!
3461 ^ lord,
3462 ^ lord,
3488 ^ lord,
3489 ^ lord,
3664 ^ lord,
3721 ^ lord,
3744 ^ lord,
3960 ^ teacher,
3999 ^ lord,
4058 ^ lord,
4067 ^ o [you] of little faith?
4135 ^ son
4262 ^ son;
4626 ^ daughter;
4731 ^ lord.
5904 ^ chorazin!
5907 ^ bethsaida!
5943 ^ capernaum,
5990 ^ father,
6009 ^ - father,
6656 ^ offspring of vipers,
6731 ^ teacher,
7472 ^ sir,
8510 ^ lord,
8553 ^ lord,
8568 ^ [you] of little faith,
8735 ^ hypocrites!
8940 ^ lord,
8941 ^ son of david;
8989 ^ lord,
9012 ^ lord;
9035 ^ o woman,
9361 ^ o [you] of little faith,
9499 ^ simon barjona!
9626 ^ lord;
9641 ^ satan!
9834 ^ lord,
10016 ^ lord,
10053 ^ o generation
10203 ^ simon?
10696 ^ lord,
10877 ^ servant evil,
11202 ^ teacher,
11658 ^ friend,
11955 ^ lord,
11956 ^ son of david.
11972 ^ lord,
11973 ^ son of david.
11989 ^ lord,
12543 ^ son,
12571 ^ sir,
13052 ^ friend,
13118 ^ teacher,
13166 ^ hypocrites?
13227 ^ teacher,
13395 ^ teacher,
13706 ^ scribes
13707 ^ and pharisees,
13709 ^ hypocrites!
13730 ^ scribes
13731 ^ and pharisees,
13733 ^ hypocrites!
13755 ^ guides blind,
13777 ^ foolish
13778 ^ and blind!
13813 ^ you blind men!
13875 ^ scribes
13876 ^ and pharisees,
13878 ^ hypocrites!
13910 ^ guides
13922 ^ scribes
13923 ^ and pharisees,
13925 ^ hypocrites!
13942 ^ pharisee blind!
13959 ^ scribes
13960 ^ and pharisees,
13962 ^ hypocrites!
13998 ^ scribes
13999 ^ and pharisees,
14001 ^ hypocrites!
14052 ^ serpents!
14053 ^ offspring of vipers!
14134 ^ jerusalem,
14135 ^ jerusalem,
15161 ^ lord,
15162 ^ lord,
15281 ^ master,
15297 ^ servant
15324 ^ master,
15340 ^ servant
15368 ^ master,
15405 ^ wicked servant
15602 ^ lord,
15717 ^ lord,
16073 ^ lord?
16131 ^ rabbi?
16370 ^ father of me,
16432 ^ father of me,
16553 ^ rabbi,
16562 ^ friend,
16884 ^ christ,
17452 ^ king
17687 ^ god of me,
17689 ^ god of me,
17947 ^ sir,
18722 ^ jesus of nazareth?
19118 ^ son,
20763 ^ teacher,
20922 ^ jesus,
20939 ^ the spirit
21349 ^ daughter,
21482 ^ - little girl,
22941 ^ lord;
23613 ^ satan,
23822 ^ rabbi,
24009 ^ teacher,
24050 ^ o
24051 ^ generation unbelieving!
24163 ^ -
24374 ^ teacher,
24821 ^ teacher good,
24869 ^ teacher,
24954 ^ children,
25174 ^ teacher,
25390 ^ son of david, jesus,
25406 ^ son of david,
25453 ^ rabboni,
25828 ^ rabbi,
26239 ^ teacher,
26341 ^ teacher,
26525 ^ o israel:
26582 ^ teacher,
26845 ^ teacher,
28033 ^ abba,
28063 ^ simon,
28197 ^ rabbi!
28863 ^ king
29083 ^ - god of me,
29086 ^ - god of me,
29677 ^ most excellent theophilus,
29820 ^ zechariah,
30131 ^ mary;
30762 ^ child,
31308 ^ lord,
31601 ^ child
31803 ^ offspring of vipers,
31903 ^ teacher,
32636 ^ physician
32819 ^ jesus,
32820 ^ of nazareth?
33122 ^ master,
33187 ^ lord.
33268 ^ lord,
33429 ^ man,
34515 ^ brother,
34534 ^ hypocrite,
34623 ^ lord,
34624 ^ lord,
34806 ^ lord,
34970 ^ young man,
35435 ^ simon,
35442 ^ teacher,
36062 ^ master,
36063 ^ master,
36165 ^ jesus,
36166 ^ son
36514 ^ master,
36565 ^ daughter,
36660 ^ -, child,
37295 ^ master,
37395 ^ teacher,
37443 ^ o generation
37615 ^ master,
37703 ^ lord,
37773 ^ lord
37806 ^ lord;
38054 ^ chorazin!
38057 ^ bethsaida!
38092 ^ capernaum,
38128 ^ lord,
38208 ^ father,
38209 ^ lord
38227 ^ - father,
38315 ^ teacher,
38581 ^ lord,
38605 ^ martha,
38606 ^ martha,
38645 ^ lord,
38662 ^ father,
38717 ^ friend,
39354 ^ fools!
39447 ^ teacher,
39844 ^ teacher,
39858 ^ man,
39944 ^ soul,
39961 ^ fool!
40108 ^ o [you] of little faith!
40148 ^ - little flock,
40301 ^ lord,
40576 ^ hypocrites!
40793 ^ sir,
40857 ^ woman,
40914 ^ hypocrites!
41060 ^ lord,
41104 ^ lord,
41142 ^ all [you] workers of unrighteousness.
41261 ^ jerusalem,
41262 ^ jerusalem,
41466 ^ friend,
41687 ^ sir,
42105 ^ father,
42214 ^ father,
42269 ^ father,
42452 ^ son,
42925 ^ father
42926 ^ abraham,
42954 ^ child,
43007 ^ father,
43049 ^ father
43050 ^ abraham,
43284 ^ jesus,
43285 ^ master,
43634 ^ lord?
43825 ^ - god,
43874 ^ -, god,
43965 ^ teacher good,
44256 ^ jesus,
44257 ^ son of david,
44273 ^ son of david,
44298 ^ lord,
44393 ^ zacchaeus,
44436 ^ lord,
44579 ^ lord,
44590 ^ good servant!
44611 ^ lord,
44630 ^ lord,
44664 ^ evil servant.
44717 ^ master,
44933 ^ teacher,
45426 ^ teacher,
45517 ^ teacher,
45680 ^ teacher,
45874 ^ teacher,
46812 ^ simon,
46813 ^ simon,
46847 ^ lord,
46864 ^ peter,
46942 ^ lord,
46996 ^ father,
47091 ^ judas,
47106 ^ lord,
47246 ^ woman.
47263 ^ man,
47290 ^ man,
47867 ^ daughters of jerusalem,
47965 ^ father,
48087 ^ jesus,
48142 ^ father,
48698 ^ o foolish
48700 ^ and
48701 ^ slow
49696 ^ rabbi
49897 ^ rabbi,
50003 ^ woman?
50402 ^ rabbi,
50845 ^ rabbi,
51206 ^ sir,
51299 ^ sir,
51360 ^ sir,
51392 ^ woman,
51558 ^ rabbi,
52048 ^ sir,
53178 ^ rabbi,
53349 ^ sir,
53959 ^ lord,
54914 ^ teacher,
55006 ^ woman,
55016 ^ sir.
55953 ^ rabbi,
56545 ^ lord,
56568 ^ lord.
57370 ^ lord,
57443 ^ rabbi,
57514 ^ lord,
57638 ^ lord,
57721 ^ lord;
57834 ^ lord,
57869 ^ lord,
57935 ^ lord,
57969 ^ father,
58001 ^ lazarus,
58517 ^ daughter of zion.
58628 ^ sir,
58742 ^ father,
58757 ^ father,
58942 ^ lord,
59273 ^ lord,
59323 ^ lord,
59590 ^ lord,
59715 ^ little children,
59772 ^ lord,
59792 ^ lord,
59891 ^ lord,
59942 ^ lord,
59963 ^ philip?
60212 ^ lord,
61496 ^ father,
61561 ^ father,
61678 ^ father holy,
61855 ^ father,
61915 ^ father,
61943 ^ father righteous,
62804 ^ - king
63287 ^ woman,
63800 ^ woman,
63836 ^ woman,
63849 ^ sir,
63865 ^ mary.
63871 ^ rabboni,
64141 ^ the lord of me
64144 ^ and the god of me!
64298 ^ children,
64493 ^ simon [son] of john,
64502 ^ lord;
64518 ^ simon [son] of john,
64525 ^ lord;
64541 ^ simon [son] of john,
64558 ^ lord,
64643 ^ lord,
64657 ^ lord,
64760 ^ o theophilus,
64847 ^ lord,
64940 ^ men,
64941 ^ galileans,
65059 ^ men, brothers,
65213 ^ lord,
65466 ^ men of judea
65611 ^ men,
65612 ^ israelites,
65741 ^ men,
65742 ^ brothers,
65911 ^ men,
65912 ^ brothers?
66301 ^ men,
66302 ^ israelites,
66414 ^ brothers,
66722 ^ rulers
67013 ^ sovereign lord,
67109 ^ lord,
67319 ^ ananias,
67903 ^ men,
67904 ^ israelites,
68103 ^ brothers,
68346 ^ men,
68347 ^ brothers,
68348 ^ and fathers,
68819 ^ men,
69155 ^ o house of israel?
69291 ^ stiff-necked
69292 ^ and uncircumcised
69433 ^ lord jesus,
69446 ^ lord,
70218 ^ saul,
70219 ^ saul,
70227 ^ lord?
70312 ^ ananias.
70318 ^ lord.
70361 ^ lord,
70444 ^ saul
70445 ^ brother,
70751 ^ aeneas,
70886 ^ tabitha,
70992 ^ cornelius!
71003 ^ lord?
71140 ^ peter,
71149 ^ lord;
71449 ^ cornelius,
71883 ^ peter,
71890 ^ lord,
72967 ^ o
72968 ^ full
73086 ^ men,
73087 ^ brothers,
73107 ^ men,
73108 ^ israelites,
73278 ^ men,
73279 ^ brothers,
73280 ^ sons
73474 ^ men,
73475 ^ brothers,
73509 ^ - scoffers,
73969 ^ men,
74350 ^ men,
74351 ^ brothers,
74470 ^ men,
74471 ^ brothers,
75444 ^ sirs,
76060 ^ men,
76061 ^ athenians,
76556 ^ o jews,
77256 ^ men,
77459 ^ men,
77460 ^ ephesians,
78589 ^ brother,
78759 ^ men,
78760 ^ israelites,
79035 ^ men,
79036 ^ brothers,
79037 ^ and fathers,
79169 ^ saul,
79170 ^ saul,
79179 ^ lord?
79213 ^ lord?
79272 ^ saul
79273 ^ brother,
79370 ^ lord,
79611 ^ men,
79612 ^ brothers,
79647 ^ wall
79677 ^ brothers,
79709 ^ men,
79710 ^ brothers,
80316 ^ most excellent felix,
81169 ^ agrippa king,
81171 ^ and all the
81233 ^ king agrippa,
81279 ^ king agrippa,
81380 ^ o king.
81471 ^ o king,
81501 ^ saul,
81502 ^ saul,
81516 ^ lord?
81599 ^ o king agrippa,
81705 ^ paul!
81719 ^ most excellent festus,
81754 ^ king agrippa,
82011 ^ men,
82198 ^ o men,
82249 ^ paul;
82267 ^ men;
82916 ^ men,
82917 ^ brothers,
83393 ^ brothers,
83749 ^ o
83750 ^ man,
83786 ^ o
83787 ^ man,
85828 ^ brothers —
85893 ^ brothers of me,
86502 ^ brothers,
86552 ^ abba!
87237 ^ o
87238 ^ man,
87472 ^ brothers,
87718 ^ lord,
87858 ^ lord,
88226 ^ brothers,
88396 ^ brothers,
88650 ^ beloved;
89497 ^ gentiles,
89505 ^ all the gentiles,
89561 ^ brothers of me,
89828 ^ brothers,
90126 ^ brothers,
90456 ^ brothers,
90493 ^ brothers of me,
90722 ^ brothers,
90817 ^ brothers,
91102 ^ brothers
91529 ^ brothers,
92610 ^ wife,
92618 ^ husband,
92716 ^ brothers,
92792 ^ brothers:
93709 ^ brothers,
93902 ^ beloved of me,
94672 ^ brothers of me,
94702 ^ brothers,
95441 ^ brothers,
95665 ^ brothers,
95787 ^ brothers?
95955 ^ brothers of me,
95976 ^ brothers,
96409 ^ brothers
96470 ^ fool
96675 ^ brothers,
96759 ^ o death,
96760 ^ the victory?
96764 ^ o death,
96765 ^ the sting?”
96797 ^ brothers of me beloved,
97023 ^ brothers,
97124 ^ marana
97294 ^ brothers,
99020 ^ corinthians;
99142 ^ beloved,
99469 ^ brothers,
101780 ^ brothers,
102368 ^ o
102369 ^ foolish galatians!
102580 ^ brothers,
102907 ^ abba,
102981 ^ brothers,
103068 ^ children of me,
103189 ^ o barren woman,
103213 ^ brothers,
103259 ^ brothers,
103382 ^ brothers,
103407 ^ brothers;
103581 ^ brothers,
103846 ^ brothers.
105686 ^ - wives,
105726 ^ - husbands,
105876 ^ - children,
105912 ^ - fathers,
105927 ^ - slaves,
105987 ^ - masters,
106450 ^ brothers,
106915 ^ beloved of me,
107204 ^ brothers of me,
107399 ^ brothers,
107455 ^ brothers,
107543 ^ brothers of me,
107556 ^ beloved.
107571 ^ true yokefellow,
107652 ^ brothers,
107765 ^ philippians,
109097 ^ - wives,
109106 ^ - husbands,
109116 ^ - children,
109129 ^ - fathers,
109139 ^ - slaves,
109195 ^ - masters,
109542 ^ brothers
109698 ^ brothers,
109836 ^ brothers,
109945 ^ brothers,
110018 ^ brothers,
110207 ^ brothers,
110335 ^ brothers,
110497 ^ brothers,
110531 ^ brothers,
110650 ^ brothers,
110692 ^ brothers,
110798 ^ brothers,
110828 ^ brothers,
110931 ^ brothers,
110997 ^ brothers,
111200 ^ brothers,
111422 ^ brothers
111459 ^ brothers,
111514 ^ brothers,
111590 ^ brothers,
111710 ^ brothers,
112051 ^ [my] child timothy,
113202 ^ o man of god,
113351 ^ o timothy,
113695 ^ child of me,
115379 ^ brother.
115542 ^ brother,
115748 ^ o god,
115788 ^ lord,
116178 ^ brothers holy,
116344 ^ brothers,
117106 ^ beloved,
118619 ^ - o god,
118787 ^ brothers,
119794 ^ son of me,
120516 ^ brothers,
120579 ^ brothers of me,
120775 ^ brothers my beloved.
120816 ^ brothers my beloved.
120967 ^ brothers of me,
121039 ^ brothers my beloved.
121171 ^ brothers of me,
121279 ^ o man foolish,
121389 ^ brothers of mine,
121562 ^ brothers of me,
121582 ^ brothers of me,
121733 ^ adulteresses!
121807 ^ [you] sinners,
121811 ^ [you] double-minded.
121838 ^ brothers.
121960 ^ [you] rich,
122054 ^ brothers,
122092 ^ brothers
122107 ^ brothers,
122144 ^ brothers of me,
122274 ^ brothers of me,
122872 ^ beloved,
122976 ^ - servants,
123106 ^ - wives,
123202 ^ - husbands
123646 ^ beloved,
123839 ^ younger [ones],
124154 ^ brothers,
124744 ^ beloved,
124872 ^ beloved,
124981 ^ beloved,
125048 ^ beloved,
125290 ^ little children of me,
125397 ^ beloved,
