subclause word index ^ length
2 ^ of [the] genealogy
3 ^ of jesus
98 ^ - of uriah,
276 ^ -
278 ^ of jesus christ the birth
443 ^ - of judea,
447 ^ of herod
463 ^ of the jews?
495 ^ of the people,
510 ^ - of judea,
553 ^ of the
835 ^ of the child.
875 ^ - of galilee,
907 ^ - of judea,
916 ^ of the heavens.
982 ^ the jordan,
999 ^ of the pharisees
1001 ^ and sadducees
1024 ^ - of repentance.
1058 ^ of the trees
1203 ^ of god
1261 ^ - of god,
1305 ^ of the temple,
1313 ^ - of god,
1366 ^ of the world
1368 ^ and the glory of them,
1434 ^ of zebulun
1435 ^ and naphtali,
1450 ^ of naphtali,
1451 ^ way
1452 ^ of [the] sea,
1457 ^ of the gentiles —
1492 ^ of the heavens.
1499 ^ - of galilee,
1549 ^ - of zebedee,
1598 ^ of the kingdom,
1685 ^ in the spirit,
1692 ^ of the heavens.
1727 ^ - in heart,
1752 ^ of the heavens.
1793 ^ of the earth;
1819 ^ of the world.
1918 ^ of the commandments
1933 ^ of the heavens;
1947 ^ of the heavens.
1960 ^ of the scribes
1962 ^ and pharisees,
1970 ^ of the heavens.
1985 ^ to the judgment.’
2000 ^ to the judgment;
2012 ^ to the sanhedrin;
2024 ^ - of fire.
2156 ^ of the members of you,
2188 ^ of the members of you,
2263 ^ - of god;
2272 ^ of the feet of him;
2281 ^ of the great king.
2414 ^ of the father of you
2589 ^ of the streets
2874 ^ of the body
2969 ^ than the food,
2980 ^ of the air,
3025 ^ of the field,
3052 ^ of the field,
3104 ^ of god
3106 ^ and the righteousness of him,
3127 ^ to the day [is]
3159 ^ the brother of you,
3211 ^ of the brother of you.
3467 ^ of the heavens,
3474 ^ the father of me,
3834 ^ of the heavens;
3839 ^ of the kingdom
3854 ^ of the teeth.
3978 ^ of the air
3984 ^ - of man,
3994 ^ of the disciples of him
4106 ^ of the gadarenes,
4136 ^ - of god?
4150 ^ of pigs many,
4167 ^ - of pigs.
4220 ^ - jesus.
