PericopeID^ReferenceRange
1^revelation 7:1 - acts 16:1
2^acts 16:1 - revelation 13:1
3^revelation 13:1 - matthew 18:15
4^matthew 18:15 - hebrews 12:1
5^hebrews 12:1 - hebrews 12:14
6^hebrews 12:14 - hebrews 6:1
7^hebrews 6:1 - hebrews 10:19
8^hebrews 10:19 - 1timothy 2:1
9^1timothy 2:1 - luke 13:1
10^luke 13:1 - 1thessalonians 4:1
11^1thessalonians 4:1 - 1thessalonians 1:1
12^1thessalonians 1:1 - 1timothy 6:17
13^1timothy 6:17 - 1timothy 5:21
14^1timothy 5:21 - hebrews 12:22
15^hebrews 12:22 - mark 14:1
16^mark 14:1 - 1timothy 4:6
17^1timothy 4:6 - james 1:1
18^james 1:1 - jude 1:1
19^jude 1:1 - 1peter 1:1
20^1peter 1:1 - 2john 1:1
21^2john 1:1 - matthew 12:22
22^matthew 12:22 - romans 11:33
23^romans 11:33 - acts 3:1
24^acts 3:1 - 1peter 1:3
25^1peter 1:3 - revelation 10:1
26^revelation 10:1 - 1john 2:7
27^1john 2:7 - revelation 21:1
28^revelation 21:1 - revelation 21:1
29^revelation 21:1 - 1timothy 5:23
30^1timothy 5:23 - hebrews 6:13
31^hebrews 6:13 - 1thessalonians 2:18
32^1thessalonians 2:18 - romans 11:1
33^romans 11:1 - luke 18:18
34^luke 18:18 - luke 7:36
35^luke 7:36 - hebrews 7:11
36^hebrews 7:11 - matthew 7:15
37^matthew 7:15 - 1timothy 4:1
38^1timothy 4:1 - james 2:1
39^james 2:1 - 2thessalonians 3:6
40^2thessalonians 3:6 - james 4:1
41^james 4:1 - james 5:1
42^james 5:1 - revelation 17:1
43^revelation 17:1 - revelation 12:1
44^revelation 12:1 - hebrews 11:4
45^hebrews 11:4 - hebrews 11:8
46^hebrews 11:8 - romans 4:16
47^romans 4:16 - romans 4:13
48^romans 4:13 - romans 4:1
49^romans 4:1 - colossians 2:1
50^colossians 2:1 - romans 15:1
51^romans 15:1 - matthew 12:36
52^matthew 12:36 - mark 8:27
53^mark 8:27 - mark 8:14
54^mark 8:14 - matthew 5:27
55^matthew 5:27 - ephesians 5:1
56^ephesians 5:1 - acts 1:10
57^acts 1:10 - acts 12:24
58^acts 12:24 - acts 28:24
59^acts 28:24 - 1corinthians 1:1
60^1corinthians 1:1 - colossians 1:1
61^colossians 1:1 - acts 5:1
62^acts 5:1 - jude 1:5
63^jude 1:5 - mark 14:22
64^mark 14:22 - ephesians 1:1
65^ephesians 1:1 - acts 4:5
66^acts 4:5 - acts 25:14
67^acts 25:14 - luke 24:36
68^luke 24:36 - acts 18:18
69^acts 18:18 - acts 21:10
70^acts 21:10 - luke 9:43
71^luke 9:43 - 2corinthians 10:1
72^2corinthians 10:1 - acts 25:23
73^acts 25:23 - acts 26:28
74^acts 26:28 - ephesians 2:1
75^ephesians 2:1 - 1corinthians 13:1
76^1corinthians 13:1 - romans 11:25
77^romans 11:25 - romans 9:7
78^romans 9:7 - 2timothy 3:10
79^2timothy 3:10 - 1corinthians 10:23
80^1corinthians 10:23 - matthew 25:31
81^matthew 25:31 - 2corinthians 12:20
82^2corinthians 12:20 - 2corinthians 5:11
83^2corinthians 5:11 - acts 8:9
84^acts 8:9 - mark 16:1
85^mark 16:1 - revelation 14:6
86^revelation 14:6 - luke 2:8
87^luke 2:8 - revelation 7:1
88^revelation 7:1 - hebrews 12:1
89^hebrews 12:1 - hebrews 10:19
90^hebrews 10:19 - acts 16:35
91^acts 16:35 - matthew 12:43
92^matthew 12:43 - hebrews 12:18
93^hebrews 12:18 - acts 5:1
94^acts 5:1 - acts 9:10
95^acts 9:10 - acts 23:2
96^acts 23:2 - 2thessalonians 2:9
97^2thessalonians 2:9 - 1john 5:14
98^1john 5:14 - galatians 1:8
99^galatians 1:8 - revelation 3:19
100^revelation 3:19 - matthew 16:24
101^matthew 16:24 - ephesians 1:6
102^ephesians 1:6 - romans 16:17
103^romans 16:17 - 2corinthians 13:5
104^2corinthians 13:5 - 1corinthians 16:13
105^1corinthians 16:13 - romans 16:21
106^romans 16:21 - revelation 11:11
107^revelation 11:11 - 2peter 3:16
108^2peter 3:16 - 1peter 5:8
109^1peter 5:8 - ephesians 5:4
110^ephesians 5:4 - 1thessalonians 1:5
111^1thessalonians 1:5 - acts 25:11
112^acts 25:11 - mark 16:19
113^mark 16:19 - acts 20:17
114^acts 20:17 - matthew 3:13
115^matthew 3:13 - 1corinthians 11:17
116^1corinthians 11:17 - matthew 24:36
117^matthew 24:36 - ephesians 1:13
118^ephesians 1:13 - luke 14:34
119^luke 14:34 - acts 5:29
120^acts 5:29 - matthew 26:47
121^matthew 26:47 - acts 16:7
122^acts 16:7 - matthew 27:20
123^matthew 27:20 - galatians 3:9
124^galatians 3:9 - matthew 12:13
125^matthew 12:13 - 2corinthians 5:18
126^2corinthians 5:18 - 2corinthians 6:3
127^2corinthians 6:3 - 2corinthians 6:4
128^2corinthians 6:4 - 2corinthians 8:14
129^2corinthians 8:14 - acts 22:17
130^acts 22:17 - 2corinthians 1:12
131^2corinthians 1:12 - 1corinthians 1:26
132^1corinthians 1:26 - acts 16:16
133^acts 16:16 - mark 1:40
134^mark 1:40 - 1peter 4:12
135^1peter 4:12 - philippians 2:16
136^philippians 2:16 - 2timothy 3:16
137^2timothy 3:16 - mark 12:41
138^mark 12:41 - luke 22:66
139^luke 22:66 - matthew 12:24
140^matthew 12:24 - john 8:59
141^john 8:59 - ephesians 4:29
142^ephesians 4:29 - ephesians 4:7
143^ephesians 4:7 - mark 11:27
144^mark 11:27 - matthew 26:69
145^matthew 26:69 - luke 4:40
146^luke 4:40 - 1peter 1:13
147^1peter 1:13 - 1john 4:7
148^1john 4:7 - mark 8:34
149^mark 8:34 - galatians 5:25
150^galatians 5:25 - mark 2:23
151^mark 2:23 - romans 6:23
152^romans 6:23 - 1corinthians 7:35
153^1corinthians 7:35 - john 13:36
154^john 13:36 - 1thessalonians 5:16
155^1thessalonians 5:16 - 3john 1:12
156^3john 1:12 - matthew 20:29
157^matthew 20:29 - acts 4:31
158^acts 4:31 - john 10:39
159^john 10:39 - ephesians 4:16
160^ephesians 4:16 - matthew 9:36
161^matthew 9:36 - 2corinthians 6:13
162^2corinthians 6:13 - acts 25:23
163^acts 25:23 - 2corinthians 9:6
164^2corinthians 9:6 - mark 6:53
165^mark 6:53 - romans 1:9
166^romans 1:9 - 3john 1:5
167^3john 1:5 - ephesians 6:18
168^ephesians 6:18 - acts 26:12
169^acts 26:12 - matthew 18:21
170^matthew 18:21 - philippians 1:21
171^philippians 1:21 - 2corinthians 4:7
172^2corinthians 4:7 - matthew 19:20
173^matthew 19:20 - ephesians 5:25
174^ephesians 5:25 - 1timothy 1:20
175^1timothy 1:20 - luke 5:36
176^luke 5:36 - 2corinthians 5:9
177^2corinthians 5:9 - james 1:13
178^james 1:13 - 2corinthians 11:23
179^2corinthians 11:23 - 1corinthians 10:24
180^1corinthians 10:24 - acts 9:18
181^acts 9:18 - acts 10:17
182^acts 10:17 - mark 15:42
183^mark 15:42 - luke 2:51
184^luke 2:51 - romans 5:2
185^romans 5:2 - matthew 14:34
186^matthew 14:34 - 1thessalonians 4:13
187^1thessalonians 4:13 - john 14:27
188^john 14:27 - colossians 2:20
189^colossians 2:20 - luke 12:49
190^luke 12:49 - 1timothy 6:10
191^1timothy 6:10 - matthew 8:16
192^matthew 8:16 - mark 3:10
193^mark 3:10 - 2peter 2:10
194^2peter 2:10 - james 4:13
195^james 4:13 - james 2:14
196^james 2:14 - matthew 18:10
197^matthew 18:10 - 1john 2:15
198^1john 2:15 - galatians 5:3
199^galatians 5:3 - galatians 6:9
200^galatians 6:9 - 2corinthians 9:13
201^2corinthians 9:13 - luke 1:26
202^luke 1:26 - luke 1:76
203^luke 1:76 - 1corinthians 15:51
204^1corinthians 15:51 - mark 4:30
205^mark 4:30 - john 5:39
206^john 5:39 - matthew 25:14
207^matthew 25:14 - 2corinthians 7:13
208^2corinthians 7:13 - mark 7:31
209^mark 7:31 - matthew 15:29
210^matthew 15:29 - acts 17:5
211^acts 17:5 - 1thessalonians 3:10
212^1thessalonians 3:10 - matthew 17:24
213^matthew 17:24 - matthew 16:16
214^matthew 16:16 - matthew 11:25
215^matthew 11:25 - ephesians 3:14
216^ephesians 3:14 - 1corinthians 14:2
217^1corinthians 14:2 - 1corinthians 13:13
218^1corinthians 13:13 - matthew 10:40
219^matthew 10:40 - matthew 19:27
220^matthew 19:27 - romans 15:28
221^romans 15:28 - matthew 23:34
222^matthew 23:34 - matthew 18:32
223^matthew 18:32 - matthew 22:41
224^matthew 22:41 - 1thessalonians 4:11
225^1thessalonians 4:11 - mark 5:35
226^mark 5:35 - luke 8:49
227^luke 8:49 - matthew 21:28
228^matthew 21:28 - revelation 13:16
229^revelation 13:16 - luke 11:37
230^luke 11:37 - luke 13:31
231^luke 13:31 - 1corinthians 1:12
232^1corinthians 1:12 - acts 21:37
233^acts 21:37 - romans 15:30
234^romans 15:30 - luke 18:35
235^luke 18:35 - acts 9:36
236^acts 9:36 - mark 10:46
237^mark 10:46 - acts 15:22
238^acts 15:22 - matthew 28:18
239^matthew 28:18 - galatians 4:22
240^galatians 4:22 - galatians 1:14
241^galatians 1:14 - luke 11:27
242^luke 11:27 - mark 3:31
243^mark 3:31 - matthew 12:46
244^matthew 12:46 - luke 24:50
245^luke 24:50 - 1thessalonians 5:23
246^1thessalonians 5:23 - 1corinthians 2:6
247^1corinthians 2:6 - hebrews 7:11
248^hebrews 7:11 - philippians 4:19
249^philippians 4:19 - 2timothy 4:19
250^2timothy 4:19 - 1corinthians 12:26
251^1corinthians 12:26 - acts 27:41
252^acts 27:41 - luke 7:36
253^luke 7:36 - matthew 8:31
254^matthew 8:31 - 1peter 2:18
255^1peter 2:18 - ephesians 1:3
256^ephesians 1:3 - romans 10:11
257^romans 10:11 - acts 7:44
258^acts 7:44 - hebrews 2:5
259^hebrews 2:5 - galatians 2:11
260^galatians 2:11 - revelation 13:15
261^revelation 13:15 - 1corinthians 7:10
262^1corinthians 7:10 - romans 10:18
263^romans 10:18 - 1corinthians 9:7
264^1corinthians 9:7 - acts 5:12
265^acts 5:12 - galatians 2:20
266^galatians 2:20 - galatians 2:3
267^galatians 2:3 - 1corinthians 14:27
268^1corinthians 14:27 - luke 8:16
269^luke 8:16 - john 3:18
270^john 3:18 - galatians 5:22
271^galatians 5:22 - 2corinthians 2:14
272^2corinthians 2:14 - matthew 21:33
273^matthew 21:33 - mark 13:24
274^mark 13:24 - 1corinthians 15:35
275^1corinthians 15:35 - mark 4:14
276^mark 4:14 - hebrews 8:7
277^hebrews 8:7 - revelation 17:12
278^revelation 17:12 - 1corinthians 10:7
279^1corinthians 10:7 - 2thessalonians 3:16
280^2thessalonians 3:16 - 2thessalonians 2:15
281^2thessalonians 2:15 - 2thessalonians 1:11
282^2thessalonians 1:11 - acts 16:35
283^acts 16:35 - galatians 3:10
284^galatians 3:10 - mark 14:66
285^mark 14:66 - 2corinthians 13:7
286^2corinthians 13:7 - ephesians 5:18
287^ephesians 5:18 - 2corinthians 7:2
288^2corinthians 7:2 - galatians 6:2
289^galatians 6:2 - philippians 3:18
290^philippians 3:18 - luke 17:3
291^luke 17:3 - philippians 1:28
292^philippians 1:28 - 2john 1:10
293^2john 1:10 - ephesians 3:8
294^ephesians 3:8 - john 20:19
295^john 20:19 - philippians 3:17
296^philippians 3:17 - john 2:13
