StrongsOne ^ StrongsTwo ^ Count
11206 ^ 12262 ^ 853
11206 ^ 9520 ^ 231
11206 ^ 11678 ^ 164
11206 ^ 10710 ^ 163
11206 ^ 12630 ^ 161
11206 ^ 10396 ^ 131
11206 ^ 10166 ^ 114
11206 ^ 11098 ^ 106
11206 ^ 12430 ^ 105
11206 ^ 9770 ^ 101
11206 ^ 10738 ^ 95
11206 ^ 9999 ^ 93
11206 ^ 12834 ^ 80
11206 ^ 11074 ^ 78
11206 ^ 10866 ^ 70
11206 ^ 9522 ^ 66
11206 ^ 8865 ^ 61
11206 ^ 12857 ^ 54
11206 ^ 12413 ^ 54
11206 ^ 10211 ^ 54
11206 ^ 10821 ^ 53
11206 ^ 10786 ^ 47
11206 ^ 10193 ^ 46
11206 ^ 10932 ^ 45
11206 ^ 10583 ^ 42
11206 ^ 10111 ^ 41
11206 ^ 11657 ^ 39
11206 ^ 12453 ^ 39
11206 ^ 12035 ^ 38
11206 ^ 10505 ^ 37
11206 ^ 9897 ^ 34
11206 ^ 12452 ^ 34
11206 ^ 14287 ^ 32
11206 ^ 10931 ^ 32
11206 ^ 13349 ^ 31
11206 ^ 12124 ^ 31
11206 ^ 10199 ^ 31
11206 ^ 12427 ^ 31
11206 ^ 9580 ^ 30
11206 ^ 11165 ^ 30
11206 ^ 13775 ^ 30
11206 ^ 12436 ^ 30
11206 ^ 12769 ^ 29
11206 ^ 12000 ^ 29
11206 ^ 12774 ^ 28
11206 ^ 10990 ^ 28
11206 ^ 10745 ^ 27
11206 ^ 10750 ^ 27
11206 ^ 13774 ^ 27
11206 ^ 10194 ^ 26
11206 ^ 12242 ^ 26
11206 ^ 9249 ^ 25
11206 ^ 13761 ^ 25
11206 ^ 11654 ^ 25
11206 ^ 11636 ^ 25
11206 ^ 12428 ^ 25
11206 ^ 8864 ^ 24
11206 ^ 9537 ^ 24
11206 ^ 9239 ^ 24
11206 ^ 8816 ^ 24
11206 ^ 12544 ^ 24
11206 ^ 11238 ^ 23
11206 ^ 13890 ^ 23
11206 ^ 9323 ^ 22
11206 ^ 12872 ^ 22
11206 ^ 9995 ^ 22
11206 ^ 11847 ^ 22
11206 ^ 14073 ^ 22
11206 ^ 9430 ^ 22
11206 ^ 13884 ^ 22
11206 ^ 13537 ^ 21
11206 ^ 11150 ^ 21
11206 ^ 13793 ^ 21
11206 ^ 10886 ^ 21
11206 ^ 12717 ^ 21
11206 ^ 12636 ^ 21
11206 ^ 12499 ^ 21
11206 ^ 10983 ^ 20
11206 ^ 10997 ^ 20
11206 ^ 10066 ^ 20
11206 ^ 14004 ^ 20
11206 ^ 9124 ^ 20
11206 ^ 11205 ^ 20
11206 ^ 8917 ^ 19
11206 ^ 10218 ^ 19
11206 ^ 13026 ^ 19
11206 ^ 10189 ^ 19
11206 ^ 9771 ^ 18
11206 ^ 11195 ^ 18
11206 ^ 13010 ^ 18
11206 ^ 12534 ^ 18
11206 ^ 13798 ^ 18
11206 ^ 10161 ^ 17
11206 ^ 12426 ^ 17
11206 ^ 9665 ^ 17
11206 ^ 10085 ^ 17
11206 ^ 11570 ^ 17
11206 ^ 12919 ^ 17
11206 ^ 9581 ^ 16
11206 ^ 8699 ^ 16
11206 ^ 14016 ^ 16
11206 ^ 12748 ^ 16
11206 ^ 10084 ^ 16
11206 ^ 10923 ^ 16
11206 ^ 12038 ^ 15
11206 ^ 11197 ^ 15
11206 ^ 12419 ^ 15
11206 ^ 9289 ^ 15
11206 ^ 9285 ^ 15
11206 ^ 12686 ^ 15
11206 ^ 13697 ^ 15
11206 ^ 13757 ^ 15
11206 ^ 9796 ^ 14
11206 ^ 12772 ^ 14
11206 ^ 9767 ^ 14
11206 ^ 10200 ^ 14
11206 ^ 10579 ^ 14
11206 ^ 10065 ^ 14
11206 ^ 10523 ^ 14
11206 ^ 13766 ^ 14
11206 ^ 12554 ^ 13
11206 ^ 13445 ^ 13
11206 ^ 10681 ^ 13
11206 ^ 13015 ^ 13
11206 ^ 10091 ^ 13
11206 ^ 8803 ^ 13
11206 ^ 11059 ^ 13
11206 ^ 11576 ^ 13
11206 ^ 9809 ^ 13
11206 ^ 11270 ^ 13
11206 ^ 10147 ^ 13
11206 ^ 13048 ^ 12
11206 ^ 13891 ^ 12
11206 ^ 12422 ^ 12
11206 ^ 10127 ^ 12
11206 ^ 9273 ^ 12
11206 ^ 8942 ^ 12
11206 ^ 9296 ^ 12
11206 ^ 12058 ^ 12
11206 ^ 11206 ^ 12
11206 ^ 12374 ^ 12
11206 ^ 11117 ^ 12
11206 ^ 10924 ^ 12
11206 ^ 11008 ^ 12
11206 ^ 10970 ^ 12
11206 ^ 11980 ^ 12
11206 ^ 10346 ^ 12
